Datetime,Pairing,Home,Draw,Away,League,Ratings Diff,Home Goals Est,Away Goals Est,OU Est,1X2 Est,Goal Diff Est,BTTS Est,EVEN/ODD Est,Total Goals Est,Goal Diff
2024-04-10 19:45:00,Wycombe Wanderers - Derby County,4.0,3.4,1.88,UK3,-164.6,0.89,1.44,U,2,2X,NG,ODD,2.37,-0.55
2024-04-10 19:45:00,Birmingham City - Cardiff City,1.9,3.5,4.1,UK2,43.59,1.84,1.14,U,1,1X/12,GG,EVEN,2.93,0.7
2024-04-10 20:00:00,Paris Saint-Germain - FC Barcelona,1.95,3.75,3.6,CLCUP,36.65,1.42,1.45,O,2,2X,NG,EVEN,2.81,-0.03
2024-04-10 20:00:00,Atletico Madrid - Borussia Dortmund,1.8,3.6,4.4,CLCUP,-3.25,1.46,0.73,O,1,1X/12,NG,EVEN,2.3,0.73
2024-04-10 20:00:00,West Bromwich Albion - Rotherham United,1.29,5.5,11.0,UK2,336.65,2.28,0.79,U,1,1X/12,GG,EVEN,3.18,1.49
2024-04-10 20:00:00,FC Dundee - Glasgow Rangers,9.25,5.5,1.29,SC1,-376.64,0.63,2.18,U,2,2X/12,NG,ODD,3.03,-1.55
2024-04-10 20:00:00,Swansea City - Stoke City,2.4,3.4,2.9,UK2,-29.23,1.46,1.23,U,X,1X,GG,EVEN,2.58,0.23
2024-04-10 23:00:00,Atletico-MG - Rosario Central,1.46,4.4,6.25,CLICUP,162.95,1.54,0.62,U,1,1X/12,NG,ODD,1.99,0.92
2024-04-10 23:00:00,Independiente Medellin - Universidad César Vallejo,1.58,3.8,5.75,CPCUP,93.31,1.55,0.86,U,1,1X/12,NG,EVEN,2.33,0.69
2024-04-10 23:00:00,Fortaleza EC - Nacional Potosi,1.1,11.0,19.0,CPCUP,231.13,2.64,0.5,O,1,1X/12,NG,EVEN,3.18,2.14
2024-04-10 23:00:00,Cerro Porteño - Alianza Lima,1.75,3.6,4.4,CLICUP,83.16,1.76,0.98,U,1,1X/12,GG,ODD,2.67,0.78
2024-04-10 23:00:00,Independiente Jose Teran - San Lorenzo,1.72,3.7,4.5,CLICUP,45.16,1.7,0.87,U,X,1X/12,NG,EVEN,2.44,0.83
2024-04-10 23:00:00,CSD Defensa y Justicia - Club Always Ready,1.25,5.75,11.0,CPCUP,224.28,2.21,0.71,U,1,1X/12,NG,ODD,2.86,1.5
2024-04-11 01:00:00,Penarol Montevideo - Caracas FC,1.3,5.0,10.5,CLICUP,213.15,2.24,0.83,O,1,1X/12,GG,EVEN,3.2,1.41
2024-04-11 01:00:00,Internacional - Real Tomayapo,1.06,13.5,46.0,CPCUP,512.36,2.93,0.36,O,1,1X/12,NG,ODD,3.1,2.57
2024-04-11 01:00:00,Union La Calera - Universidad Catolica,2.5,3.2,2.8,CPCUP,-116.99,1.15,1.48,U,2,2X,GG,EVEN,2.6,-0.33
2024-04-11 01:30:00,Flamengo - CD Palestino,1.1,10.0,26.0,CLICUP,334.0,2.64,0.5,O,1,1X/12,NG,ODD,3.22,2.14
2024-04-11 01:30:00,Racing Club - CA Bragantino,2.15,3.25,3.3,CPCUP,9.23,1.4,0.91,U,1,1X,GG,EVEN,2.29,0.49
2024-04-11 01:30:00,Sao Paulo - CD Cobresal,1.17,7.0,16.5,CLICUP,364.23,3.09,0.49,O,1,1X/12,NG,ODD,3.65,2.6
2024-04-11 02:05:00,Coyotes de Tlaxcala FC - Mineros de Zacatecas,2.9,3.4,2.05,MX2,-127.91,1.58,1.44,O,1,1X,GG,ODD,2.96,0.14
2024-04-11 03:00:00,Barcelona SC - Talleres Cordoba,2.37,3.25,2.87,CLICUP,-108.15,1.12,0.88,U,1,1X,NG,EVEN,2.0,0.24
2024-04-11 13:00:00,El Masry - Future FC,2.05,3.1,3.1,EG1,29.62,1.09,1.21,U,2,2X,GG,ODD,2.27,-0.12
2024-04-11 15:45:00,NK Koper - Aluminij Kidricevo,1.72,3.6,4.2,SI1,157.06,2.04,1.1,O,1,1X/12,GG,EVEN,3.11,0.94
2024-04-11 16:00:00,ZED FC - El Ahly,4.5,3.5,1.63,EG1,-230.13,0.99,1.75,U,2,2X/12,GG,EVEN,2.65,-0.76
2024-04-11 16:00:00,HJK Helsinki - FC Lahti,1.43,4.6,6.5,FI1,148.32,2.45,0.9,O,1,1X/12,GG,ODD,3.39,1.55
2024-04-11 16:45:00,CSKA 1948 Sofia - Ludogorets Razgrad,6.25,4.2,1.44,BG1,-311.12,0.61,1.76,U,2,2X/12,NG,EVEN,2.53,-1.15
2024-04-11 17:00:00,FC Fredericia - Silkeborg IF,3.6,4.0,1.71,DKCUP,-161.56,1.18,1.87,O,2,2X/12,GG,EVEN,2.95,-0.69
2024-04-11 17:45:00,FK Viktoria Plzen - AC Fiorentina,3.4,3.25,2.0,ECLCUP,-151.35,1.18,1.31,O,1,2X,GG,ODD,2.49,-0.13
2024-04-11 17:45:00,Olympiakos Piraeus - Fenerbahce,2.3,3.3,2.75,ECLCUP,-59.42,1.27,1.3,O,2,2X,GG,ODD,2.66,-0.03
2024-04-11 18:00:00,Zamalek - El Ettehad El Sakandary,1.62,3.5,4.5,EG1,141.59,1.53,0.86,O,1,1X/12,NG,EVEN,2.47,0.67
2024-04-11 19:00:00,Aarhus GF - FC Nordsjälland,2.75,3.5,2.15,DKCUP,-92.12,1.43,1.46,O,2,2X,GG,ODD,2.91,-0.03
2024-04-11 20:00:00,AC Milan - AS Roma,1.82,3.6,4.33,ELCUP,77.63,1.8,1.3,U,1,1X,GG,EVEN,3.06,0.5
2024-04-11 20:00:00,Bayer Leverkusen - West Ham United,1.47,4.6,6.25,ELCUP,189.38,2.02,0.97,O,1,1X/12,GG,ODD,3.12,1.05
2024-04-11 20:00:00,FC Brügge - PAOK Saloniki,1.72,3.7,4.1,ECLCUP,59.23,2.03,1.12,O,1,1X/12,GG,EVEN,2.9,0.91
2024-04-11 20:00:00,Benfica Lisboa - Olympique Marseille,1.87,3.7,3.9,ELCUP,76.71,1.54,1.19,U,X,1X,GG,ODD,2.76,0.35
2024-04-11 20:00:00,Liverpool FC - Atalanta Bergamo,1.36,5.25,7.75,ELCUP,219.72,1.93,0.86,U,1,1X/12,NG,EVEN,2.97,1.07
2024-04-11 20:00:00,Aston Villa - OSC Lille,1.63,3.75,4.6,ECLCUP,96.07,1.58,0.89,O,1,1X/12,NG,EVEN,2.5,0.69
2024-04-12 01:00:00,River Plate - Nacional Montevideo,1.39,4.6,7.5,CLICUP,178.43,2.23,0.68,U,1,1X/12,NG,EVEN,2.87,1.55
2024-04-12 13:45:00,Botev Plovdiv - Botev Vratsa,1.32,4.8,8.25,BG1,211.9,2.16,0.77,O,1,1X/12,NG,EVEN,2.97,1.39
2024-04-12 17:00:00,Willem II Tilburg - AZ Alkmaar II,1.38,4.6,6.75,NL2,203.0,1.6,0.73,U,1,1X/12,NG,EVEN,2.45,0.87
2024-04-12 19:45:00,Plymouth Argyle - Leicester City,6.0,4.75,1.49,UK2,-299.33,1.08,1.93,U,2,2X/12,GG,EVEN,3.0,-0.85
